,ID,Date,Latitude,Longitude,Year
195,ISCGEMSUP855168,7/6/1965,-22.566999999999997,172.93900000000002,1965
196,ISCGEM855169,7/6/1965,38.384,22.545,1965
197,ISCGEM855170,7/6/1965,46.591,152.467,1965
198,ISCGEM855189,7/6/1965,-4.408,155.062,1965
199,ISCGEM855208,7/7/1965,-6.819,105.505,1965
200,ISCGEM855319,7/12/1965,-28.428,-68.25,1965
201,ISCGEM855394,7/15/1965,7.74,123.811,1965
202,ISCGEM855425,7/17/1965,-9.72,159.888,1965
203,ISCGEM855504,7/20/1965,7.56,124.24700000000001,1965
204,ISCGEM855526,7/21/1965,53.318000000000005,170.365,1965
205,ISCGEM855580,7/25/1965,1.8130000000000002,99.27600000000001,1965
206,ISCGEM855589,7/25/1965,41.278,146.68200000000002,1965
207,ISCGEM855597,7/25/1965,51.472,175.894,1965
208,ISCGEM855664,7/28/1965,-2.335,101.76700000000001,1965
209,ISCGEM855674,7/29/1965,51.05,-171.28900000000002,1965
210,ISCGEM855684,7/29/1965,50.799,-171.607,1965
211,ISCGEM855692,7/29/1965,51.076,-171.46599999999998,1965
212,ISCGEM855709,7/30/1965,6.789,-72.907,1965
213,ISCGEM854282,8/1/1965,-32.441,-178.803,1965
214,ISCGEM854292,8/2/1965,-56.04600000000001,157.922,1965
215,ISCGEM854310,8/3/1965,-7.526,-81.179,1965
216,ISCGEM854347,8/5/1965,-5.212999999999999,151.701,1965
217,ISCGEM854451,8/11/1965,-15.449000000000002,166.98,1965
218,ISCGEM854453,8/11/1965,-15.67,167.21599999999998,1965
219,ISCGEM854468,8/11/1965,-15.685,167.097,1965
220,ISCGEM854470,8/11/1965,-15.741,167.26,1965
221,ISCGEM854473,8/11/1965,-15.860999999999999,167.092,1965
222,ISCGEM854500,8/12/1965,-15.817,167.399,1965
223,ISCGEM854507,8/12/1965,-5.36,152.116,1965
224,ISCGEM854519,8/12/1965,-15.931,167.392,1965
225,ISCGEM854538,8/13/1965,-15.97,167.43900000000002,1965
226,ISCGEM854550,8/13/1965,-15.995,166.96,1965
227,ISCGEM854555,8/13/1965,-15.870999999999999,166.96,1965
228,ISCGEM854556,8/13/1965,-16.198,167.607,1965
229,ISCGEM854573,8/13/1965,-16.801,167.602,1965
230,ISCGEM854586,8/13/1965,-6.38,148.543,1965
231,ISCGEM854614,8/14/1965,-15.819,166.794,1965
232,ISCGEM854617,8/14/1965,-11.385,166.332,1965
